AB1 0JH,AB1  0JH,AB1 0JH,57.110883,-2.231636
AB1 0JJ,AB1  0JJ,AB1 0JJ,57.110407,-2.2316
AB1 0JL,AB1  0JL,AB1 0JL,57.112903,-2.236916
AB1 0JN,AB1  0JN,AB1 0JN,57.110698,-2.244001
AB1 0JP,AB1  0JP,AB1 0JP,57.106695,-2.222927
AB1 0JQ,AB1  0JQ,AB1 0JQ,57.105641,-2.219487
AB1 0JR,AB1  0JR,AB1 0JR,57.105038,-2.219962
AB1 0JS,AB1  0JS,AB1 0JS,57.106227,-2.223106
AB1 0JT,AB1  0JT,AB1 0JT,57.110769,-2.234987
AB1 0JU,AB1  0JU,AB1 0JU,57.112001,-2.234087
AB1 0JW,AB1  0JW,AB1 0JW,57.111379,-2.235486
AB1 0JX,AB1  0JX,AB1 0JX,57.111109,-2.235716
AB1 0JY,AB1  0JY,AB1 0JY,57.110195,-2.239243
AB1 0JZ,AB1  0JZ,AB1 0JZ,57.110638,-2.237446
AB1 0LA,AB1  0LA,AB1 0LA,57.100938,-2.272063
AB1 0LB,AB1  0LB,AB1 0LB,57.101762,-2.27334
AB1 0LD,AB1  0LD,AB1 0LD,57.102358,-2.271941
AB1 0LE,AB1  0LE,AB1 0LE,57.094135,-2.273218
AB1 0LJ,AB1  0LJ,AB1 0LJ,57.094255,-2.26335
AB1 0LL,AB1  0LL,AB1 0LL,57.093435,-2.26874
AB1 0LN,AB1  0LN,AB1 0LN,57.08828,-2.268555
AB1 0LP,AB1  0LP,AB1 0LP,57.093757,-2.269799
AB1 0LQ,AB1  0LQ,AB1 0LQ,57.094153,-2.273432
AB1 0LR,AB1  0LR,AB1 0LR,57.09508,-2.272565
AB1 0LS,AB1  0LS,AB1 0LS,57.09397,-2.275098
AB1 0LT,AB1  0LT,AB1 0LT,57.088664,-2.293291
AB1 0LX,AB1  0LX,AB1 0LX,57.097003,-2.272496
AB1 0NA,AB1  0NA,AB1 0NA,57.09868,-2.273763
AB1 0NB,AB1  0NB,AB1 0NB,57.102373,-2.285246
AB1 0ND,AB1  0ND,AB1 0ND,57.102918,-2.29451
